=== Статистика парсера референсных геномов прокариот (NCBI Datasets) ===

Общее число FASTA файлов: 250
Количество фенотипов (организмов/видов): 242

--- Количество геномов по фенотипам (организмам) ---

  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '1311-69'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '133-73'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '1421-77'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2010AA-142'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2010AA-143'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2010AA-144'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2010AA-145'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2010AA-146'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2010AA-147'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2010AA-148'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2010AA-150'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2010AA-151'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012EL-2176'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012Env-131'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012Env-2'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012Env-25'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012Env-32'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012Env-326'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012Env-9'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012Env-90'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012Env-92'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012Env-94'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012HC-07'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012HC-08'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012HC-11'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012HC-15'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012HC-16'}}: 1
  {'taxId': 666, 'organismName': 'Vibrio cholerae', 'infraspecificNames': {'strain': '2012HC-17'}}: 1
